,Date,Open,High,Low,Close,Adj Close,Volume,RSI,RSI-status,RSI-decision
2,2022-03-16,0.000883,0.000926,0.000869,0.000912,0.000912,19135.0,53.63276089828274,Normal,Hold
3,2022-03-17,0.000912,0.000926,0.000827,0.000844,0.000844,19963.0,22.780439380206346,Oversold,Buy
4,2022-03-18,0.000844,0.000853,0.000809,0.000837,0.000837,22038.0,21.414771929277023,Oversold,Buy
5,2022-03-19,0.000837,0.000844,0.000798,0.000802,0.000802,14594.0,16.188935220265634,Oversold,Buy
6,2022-03-20,0.000802,0.000808,0.000776,0.000789,0.000789,9525.0,14.749235612053553,Oversold,Buy
7,2022-03-21,0.000789,0.000801,0.000776,0.000782,0.000782,5774.0,14.025925557984863,Oversold,Buy
8,2022-03-22,0.000782,0.000815,0.000781,0.000789,0.000789,4866.0,18.338692606132042,Oversold,Buy
9,2022-03-23,0.000789,0.000796,0.000765,0.000773,0.000773,9094.0,16.323120645703113,Oversold,Hold
10,2022-03-24,0.000773,0.00079,0.00077,0.000784,0.000784,9565.0,22.619874983887343,Oversold,Buy
11,2022-03-25,0.000784,0.000794,0.000767,0.000772,0.000772,6083.0,20.782560212982474,Oversold,Buy
12,2022-03-26,0.000772,0.000788,0.000755,0.00078,0.00078,6482.0,25.14764096679417,Oversold,Buy
13,2022-03-27,0.00078,0.000814,0.000774,0.000812,0.000812,4394.0,39.506631873938744,Normal,Hold
14,2022-03-28,0.000812,0.000842,0.000809,0.000809,0.000809,5911.0,38.75602317173542,Normal,Hold
15,2022-03-29,0.000809,0.000834,0.000807,0.00081,0.00081,6019.0,39.17089926920192,Normal,Hold
16,2022-03-30,0.00081,0.000836,0.000801,0.000812,0.000812,4471.0,40.045662099431624,Normal,Hold
17,2022-03-31,0.000812,0.00083,0.000772,0.000776,0.000776,4747.0,31.315921969436147,Normal,Hold
18,2022-04-01,0.000776,0.000806,0.000749,0.000803,0.000803,2663.0,41.5987772564988,Normal,Hold
19,2022-04-02,0.000803,0.000818,0.000775,0.000776,0.000776,3163.0,35.82307042055655,Normal,Hold
20,2022-04-03,0.000776,0.000805,0.000768,0.000795,0.000795,3317.0,41.932901734688194,Normal,Hold
21,2022-04-04,0.000795,0.000795,0.000757,0.000784,0.000784,3915.0,39.58334189755747,Normal,Hold
22,2022-04-05,0.000784,0.000809,0.000771,0.000771,0.000771,5895.0,36.94844792563498,Normal,Hold
23,2022-04-06,0.000771,0.000784,0.000729,0.000735,0.000735,5710.0,30.828509576461855,Normal,Hold
24,2022-04-07,0.000735,0.000762,0.00073,0.000749,0.000749,5887.0,35.315559402894664,Normal,Hold
25,2022-04-08,0.000749,0.000757,0.000697,0.000702,0.000702,5196.0,28.606608210470085,Oversold,Hold
26,2022-04-09,0.000702,0.000712,0.000697,0.000706,0.000706,4301.0,29.828398716983315,Oversold,Hold
27,2022-04-10,0.000706,0.000712,0.000692,0.000693,0.000693,1461.0,28.142727171180113,Oversold,Hold
28,2022-04-11,0.000693,0.000694,0.000647,0.000648,0.000648,324.0,23.245635026144853,Oversold,Hold
29,2022-04-12,0.000648,0.000692,0.000648,0.000682,0.000682,158.0,32.76520378317004,Normal,Hold
30,2022-04-13,0.000682,0.0007,0.000678,0.000698,0.000698,167.0,36.74132858514293,Normal,Hold
31,2022-04-14,0.000698,0.000704,0.000669,0.000669,0.000669,1869.0,32.93908336514261,Normal,Hold
32,2022-04-15,0.000669,0.000679,0.000668,0.000674,0.000674,1767.0,34.20337016917897,Normal,Hold
33,2022-04-16,0.000674,0.000678,0.000672,0.000675,0.000675,0.0,34.46946382488795,Normal,Hold
34,2022-04-17,0.000675,0.000675,0.000649,0.00065,0.00065,829.0,31.08488362996495,Normal,Hold
35,2022-04-18,0.00065,0.000669,0.000635,0.000668,0.000668,913.0,35.96056120161197,Normal,Hold
36,2022-04-19,0.000668,0.000679,0.000664,0.000668,0.000668,847.0,35.96056120161195,Normal,Hold
37,2022-04-20,0.000668,0.000686,0.000662,0.000666,0.000666,917.0,35.63567421097689,Normal,Hold
38,2022-04-21,0.000666,0.000675,0.000634,0.00064,0.00064,864.0,31.634439396614084,Normal,Hold
39,2022-04-22,0.00064,0.000652,0.000632,0.00064,0.00064,2123.0,31.6344393966141,Normal,Hold
40,2022-04-23,0.00064,0.000645,0.000627,0.000634,0.000634,1829.0,30.71153265465098,Normal,Hold
41,2022-04-24,0.000634,0.000642,0.000627,0.000628,0.000628,811.0,29.776021377807893,Oversold,Hold
42,2022-04-25,0.000628,0.000637,0.000606,0.000635,0.000635,392.0,32.364552422236244,Normal,Hold
43,2022-04-26,0.000635,0.000641,0.0006,0.000607,0.000607,128.0,27.9297024703843,Oversold,Hold
44,2022-04-27,0.000607,0.000621,0.000605,0.000616,0.000616,518.0,31.193390544272177,Normal,Hold
45,2022-04-28,0.000616,0.000645,0.000616,0.000644,0.000644,1360.0,40.257695455293,Normal,Hold
46,2022-04-29,0.000644,0.000649,0.000615,0.000619,0.000619,901.0,35.73160218655637,Normal,Hold
47,2022-04-30,0.000619,0.000631,0.000585,0.000587,0.000587,1446.0,30.937049128557916,Normal,Hold
48,2022-05-01,0.000587,0.000608,0.000584,0.000601,0.000601,1857.0,35.043627746877576,Normal,Hold
49,2022-05-02,0.000601,0.000607,0.000591,0.000601,0.000601,383.0,35.043627746877576,Normal,Hold
50,2022-05-03,0.000601,0.000605,0.000587,0.000594,0.000594,113.0,33.87557863315706,Normal,Hold
51,2022-05-04,0.000594,0.000627,0.000592,0.000621,0.000621,379.0,41.91730371662258,Normal,Hold
52,2022-05-05,0.000621,0.000638,0.000574,0.000583,0.000583,771.0,35.39331635298191,Normal,Hold
53,2022-05-06,0.000583,0.000591,0.000572,0.000582,0.000582,535.0,35.23788782737793,Normal,Hold
54,2022-05-07,0.000582,0.000584,0.000553,0.000561,0.000561,267.0,32.05441396296327,Normal,Hold
55,2022-05-08,0.000561,0.000562,0.000537,0.000543,0.000543,254.0,29.587061735839157,Oversold,Hold
56,2022-05-09,0.000543,0.000543,0.000543,0.000543,0.000543,0.0,29.587061735839157,Oversold,Hold
57,2022-05-10,0.000543,0.000543,0.000471,0.000502,0.000502,0.0,24.58743814020194,Oversold,Hold
58,2022-05-11,0.000502,0.000502,0.000423,0.00043,0.00043,0.0,18.63288788457355,Oversold,Hold
59,2022-05-12,0.00043,0.00043,0.00043,0.00043,0.00043,0.0,18.63288788457355,Oversold,Hold
60,2022-05-13,0.00043,0.000471,0.000406,0.000462,0.000462,0.0,27.662813014742085,Oversold,Buy
